Timestep,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
25,2.5678688614919616e-08,2.771598833058233e-08,2.8676401834325683e-08,2.786261191664626e-08,2.7363873623640407e-08,2.4699443756639706e-08,2.0771266671491063e-08,1.997108222153861e-08,1.9618740442085578e-08,1.938556782642874e-08,1.8721293250157718e-08,1.8674137742807277e-08,1.9195320193822248e-08,1.951878730155612e-08,1.9593008081310757e-08,1.965699364779321e-08,1.9731936232724324e-08,1.977870159801366e-08,1.9818123522544725e-08,1.985778985594564e-08,1.990320245797068e-08,0,0,0,0,0,0,0,0,0,0
26,2.5100716750147148e-08,2.7092161245809336e-08,2.803095791420586e-08,2.7235484651372314e-08,2.674797188103878e-08,2.4143512580365645e-08,2.0303750284192657e-08,1.952157625936885e-08,1.9177164932999343e-08,1.8949240529722296e-08,1.829991734062396e-08,1.825382320197993e-08,1.8763274960761472e-08,1.9079461521959116e-08,1.9152011752133783e-08,1.9214557141598913e-08,1.9287812930673232e-08,1.9333525708512005e-08,1.9372060330596436e-08,1.941083386043452e-08,1.9455224322790737e-08,0,0,0,0,0,0,0,0,0,0
27,2.431718632139887e-08,2.6246466960345483e-08,2.7155958658552587e-08,2.63853164598233e-08,2.5913021625047613e-08,2.338986172043662e-08,1.9669959372015696e-08,1.891220126945922e-08,1.8578540901195903e-08,1.835773126309467e-08,1.7728676996267138e-08,1.768402170738083e-08,1.817757069498025e-08,1.848388734711014e-08,1.855417288845061e-08,1.8614765894790117e-08,1.868573497068437e-08,1.873002080311852e-08,1.8767352549234753e-08,1.8804915745489117e-08,1.8847920539127248e-08,0,0,0,0,0,0,0,0,0,0
28,2.5570143414419084e-08,2.759883135440148e-08,2.855518513851154e-08,2.7744835154666137e-08,2.7248205055299902e-08,2.4595037876922842e-08,2.06834654079874e-08,1.9886663380823736e-08,1.9535810969058796e-08,1.9303623986613105e-08,1.864215733477117e-08,1.8595201156291326e-08,1.9114180541001352e-08,1.9436280335840447e-08,1.9510187380359583e-08,1.9573902476404584e-08,1.964852827499083e-08,1.9695095960561087e-08,1.9734351246492854e-08,1.9773849908165026e-08,1.9819070548674194e-08,0,0,0,0,0,0,0,0,0,0
29,2.707681678421932e-08,2.9225041405919462e-08,3.023774656652645e-08,2.937964820985849e-08,2.8853755101160268e-08,2.6044254957867744e-08,2.190220032160643e-08,2.1058448209890122e-08,2.068692246919744e-08,2.0441054298594352e-08,1.9740611948681864e-08,1.9690888964302003e-08,2.0240448248613886e-08,2.0581527177650083e-08,2.0659789057963947e-08,2.0727258448105367e-08,2.080628143373932e-08,2.0855593033984002e-08,2.089716136497691e-08,2.0938987412175227e-08,2.0986872595222e-08,0,0,0,0,0,0,0,0,0,0
30,3.287423767420018e-08,6.235586580728314e-08,6.451661919065942e-08,6.268574185383553e-08,3.503163649360479e-08,3.162059389608177e-08,2.6591683383552952e-08,2.5567275393510485e-08,2.511620222641894e-08,2.4817691188679913e-08,2.396727703285054e-08,2.3906907853585475e-08,2.4574133350308612e-08,2.4988240734797477e-08,2.5083259276850307e-08,2.5165174547205684e-08,2.526111715494123e-08,2.5320986868558504e-08,2.5371455400501188e-08,2.5422236828300754e-08,2.548037471434169e-08,0,0,0,0,0,0,0,0,0,0
31,6.634453224382157e-08,7.160818486654861e-08,7.408954930154868e-08,7.198700768648307e-08,7.069844660543435e-08,6.381451433484605e-08,3.053733846832067e-08,2.9360929548645903e-08,2.884292646554768e-08,2.850012257214678e-08,2.752352456816806e-08,2.745419785298115e-08,2.8220425794786787e-08,2.8695978138727123e-08,2.8805095464530877e-08,2.8899165264493717e-08,2.900934376818957e-08,2.907809690737078e-08,2.9136053924220883e-08,2.9194370264192755e-08,2.9261134608452465e-08,0,0,0,0,0,0,0,0,0,0
32,3.09228098194664e-08,3.337616842346021e-08,3.4532718299104875e-08,3.3552735589131936e-08,3.295214458483335e-08,2.974358283582334e-08,2.5013190456258378e-08,2.4049591732918682e-08,2.3625294448860804e-08,2.3344503145333184e-08,2.254456991283935e-08,2.2487784272123608e-08,2.3115402997349927e-08,2.3504928802398054e-08,2.3594307005912357e-08,2.3671359753161225e-08,2.3761607169450925e-08,2.3817922992998846e-08,2.3865395692764487e-08,2.391316271476419e-08,2.396784951271116e-08,0,0,0,0,0,0,0,0,0,0
33,2.7917239016412072e-08,3.013214118541064e-08,3.117627913733918e-08,0.0,0.0,2.6852628078752656e-08,2.258201051609521e-08,2.1712069652621378e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
34,2.5648458094351876e-08,2.768335937636088e-08,0.0,0.0,0.0,2.4670366062926643e-08,2.0746813467756724e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
